student_id,student_type,subtype,timestep,marks,study_hours,attendance_pct,assignment_completion,sleep_hours,focus_score
STU0006,improving,fast_improver,4,63,6.0,90,0.93,7.1,9.3
STU0006,improving,fast_improver,5,66,6.3,88,0.96,7.4,9.3
STU0006,improving,fast_improver,6,81,6.6,99,1.0,7.3,9.5
STU0007,stable,mid_stable,1,49,4.4,74,0.61,7.4,6.4
STU0007,stable,mid_stable,2,54,4.2,69,0.74,7.7,7.1
STU0007,stable,mid_stable,3,48,4.6,73,0.67,8.0,6.9
STU0007,stable,mid_stable,4,49,3.9,76,0.73,7.5,6.4
STU0007,stable,mid_stable,5,55,4.6,76,0.68,8.0,7.0
STU0007,stable,mid_stable,6,53,4.3,74,0.64,8.0,6.6
STU0008,declining,burnout,1,87,5.0,81,0.98,4.9,7.6
STU0008,declining,burnout,2,84,4.9,83,0.94,4.7,7.3
STU0008,declining,burnout,3,88,5.1,80,0.87,4.6,7.0
STU0008,declining,burnout,4,62,2.5,68,0.81,4.5,6.9
STU0008,declining,burnout,5,53,2.1,68,0.77,4.2,6.3
STU0008,declining,burnout,6,59,1.3,65,0.68,4.0,6.3
STU0009,improving,late_bloomer,1,56,3.7,69,0.65,6.9,4.3
STU0009,improving,late_bloomer,2,58,3.3,66,0.68,6.9,4.8
STU0009,improving,late_bloomer,3,60,3.7,72,0.68,6.9,4.8
STU0009,improving,late_bloomer,4,76,5.2,78,0.74,7.2,5.0
STU0009,improving,late_bloomer,5,81,5.9,89,0.77,7.4,5.1
STU0009,improving,late_bloomer,6,100,6.4,84,0.77,7.6,5.6
STU0010,stable,high_stable,1,74,4.9,77,0.93,6.4,9.9
STU0010,stable,high_stable,2,77,4.9,80,0.9,6.7,9.5
STU0010,stable,high_stable,3,80,4.9,82,0.87,6.8,9.7
STU0010,stable,high_stable,4,75,5.2,80,0.95,7.0,9.3
STU0010,stable,high_stable,5,81,4.7,76,0.88,6.5,9.6
STU0010,stable,high_stable,6,80,5.2,83,0.92,6.6,9.5
STU0011,erratic,low_erratic,1,40,5.6,80,0.06,7.2,6.0
STU0011,erratic,low_erratic,2,50,3.2,63,0.38,4.1,4.8
STU0011,erratic,low_erratic,3,47,5.6,82,0.1,7.9,1.9
STU0011,erratic,low_erratic,4,35,3.3,63,0.08,7.3,3.4
STU0011,erratic,low_erratic,5,51,4.5,75,0.63,7.7,4.1
STU0011,erratic,low_erratic,6,46,4.4,85,0.64,4.1,2.2
STU0012,erratic,low_erratic,1,25,2.9,59,0.97,4.3,7.1
STU0012,erratic,low_erratic,2,37,2.5,67,0.44,6.4,5.7
STU0012,erratic,low_erratic,3,30,1.5,45,0.77,5.8,6.4
STU0012,erratic,low_erratic,4,50,5.3,49,0.5,6.9,5.1
STU0012,erratic,low_erratic,5,20,5.2,69,0.97,7.1,3.2
STU0012,erratic,low_erratic,6,47,5.4,59,0.79,6.0,3.8
STU0013,improving,fast_improver,1,40,5.7,86,0.67,7.0,7.2
STU0013,improving,fast_improver,2,47,6.4,89,0.72,7.0,7.5
STU0013,improving,fast_improver,3,49,7.0,92,0.75,7.4,7.6
STU0013,improving,fast_improver,4,56,7.4,93,0.75,7.2,7.8
STU0013,improving,fast_improver,5,59,8.0,93,0.8,7.6,8.1
STU0013,improving,fast_improver,6,74,8.1,100,0.84,7.5,7.8
STU0014,declining,slow_decliner,1,75,4.3,78,0.88,7.6,6.2
STU0014,declining,slow_decliner,2,71,3.9,73,0.83,7.4,6.3
STU0014,declining,slow_decliner,3,68,4.0,72,0.79,7.1,5.6
STU0014,declining,slow_decliner,4,67,3.6,75,0.69,6.9,5.4
STU0014,declining,slow_decliner,5,59,3.6,71,0.65,6.9,4.9
STU0014,declining,slow_decliner,6,53,3.5,64,0.59,6.8,4.5
STU0015,erratic,low_erratic,1,41,2.5,79,0.08,4.1,9.2
STU0015,erratic,low_erratic,2,47,0.5,70,0.49,5.5,3.5
STU0015,erratic,low_erratic,3,39,1.0,65,0.59,4.0,8.4
STU0015,erratic,low_erratic,4,53,0.8,70,0.61,4.0,8.0
STU0015,erratic,low_erratic,5,20,1.2,66,0.73,5.3,8.2
STU0015,erratic,low_erratic,6,25,3.1,58,0.13,4.5,8.1
STU0016,improving,late_bloomer,1,50,1.7,70,0.51,6.9,5.4
STU0016,improving,late_bloomer,2,52,1.8,71,0.53,7.1,5.5
STU0016,improving,late_bloomer,3,54,1.7,69,0.58,7.1,6.2
STU0016,improving,late_bloomer,4,69,3.0,83,0.6,7.2,6.3
STU0016,improving,late_bloomer,5,83,3.8,90,0.63,7.1,6.5
STU0016,improving,late_bloomer,6,100,4.5,92,0.66,7.6,6.5
STU0017,stable,mid_stable,1,61,3.7,73,0.62,6.6,5.3
STU0017,stable,mid_stable,2,60,3.7,71,0.72,6.4,5.9
STU0017,stable,mid_stable,3,67,3.6,76,0.63,6.2,6.0
STU0017,stable,mid_stable,4,65,3.9,66,0.75,6.4,5.6
STU0017,stable,mid_stable,5,68,3.5,68,0.7,6.0,5.3
STU0017,stable,mid_stable,6,67,3.4,70,0.69,6.6,6.2
STU0018,declining,burnout,1,87,6.9,97,0.83,6.3,8.9
STU0018,declining,burnout,2,91,6.8,95,0.76,6.4,8.6
STU0018,declining,burnout,3,89,6.8,96,0.68,6.1,8.7
STU0018,declining,burnout,4,56,4.4,87,0.61,5.7,8.2
STU0018,declining,burnout,5,54,3.8,69,0.56,5.7,7.8
STU0018,declining,burnout,6,61,3.1,68,0.51,5.4,7.4
STU0019,declining,burnout,1,68,4.7,90,0.98,6.0,9.0
STU0019,declining,burnout,2,70,5.1,88,0.93,5.8,8.3
STU0019,declining,burnout,3,69,4.8,88,0.86,5.6,8.6
STU0019,declining,burnout,4,53,2.7,68,0.79,5.6,7.8
STU0019,declining,burnout,5,32,1.5,61,0.76,5.2,7.9
STU0019,declining,burnout,6,42,1.0,69,0.68,5.3,7.5
STU0020,declining,slow_decliner,1,65,2.9,74,0.67,7.1,7.7
STU0020,declining,slow_decliner,2,58,2.4,68,0.6,6.9,7.6
STU0020,declining,slow_decliner,3,61,2.1,70,0.54,6.5,7.3
STU0020,declining,slow_decliner,4,62,2.5,62,0.48,6.5,6.8
STU0020,declining,slow_decliner,5,61,2.0,64,0.41,6.3,6.3
STU0020,declining,slow_decliner,6,54,2.0,63,0.38,5.9,6.3
STU0021,erratic,high_erratic,1,63,4.5,78,0.86,5.1,7.3
STU0021,erratic,high_erratic,2,66,2.9,63,0.77,6.6,5.0
STU0021,erratic,high_erratic,3,87,7.4,95,0.99,6.4,7.0
STU0021,erratic,high_erratic,4,54,7.2,76,1.0,8.0,5.9
STU0021,erratic,high_erratic,5,83,6.1,62,0.6,6.6,8.2
STU0021,erratic,high_erratic,6,53,6.0,100,1.0,5.3,7.5
STU0022,stable,low_stable,1,42,0.6,55,0.35,4.8,6.2
STU0022,stable,low_stable,2,43,1.3,64,0.45,4.4,5.6
STU0022,stable,low_stable,3,47,1.1,62,0.38,4.6,6.3
STU0022,stable,low_stable,4,47,1.1,55,0.43,4.5,5.6
STU0022,stable,low_stable,5,46,0.7,60,0.42,5.3,6.2
STU0022,stable,low_stable,6,38,1.0,57,0.47,5.3,6.4
STU0023,declining,slow_decliner,1,67,4.2,82,0.91,6.8,5.8
STU0023,declining,slow_decliner,2,65,4.0,82,0.84,6.4,5.9
STU0023,declining,slow_decliner,3,61,4.0,79,0.78,6.3,5.6
STU0023,declining,slow_decliner,4,66,3.6,80,0.74,6.1,5.0
STU0023,declining,slow_decliner,5,54,3.7,79,0.65,5.9,4.6
STU0023,declining,slow_decliner,6,49,2.9,79,0.61,5.7,4.6
STU0024,stable,mid_stable,1,75,2.5,66,0.64,5.7,4.9
STU0024,stable,mid_stable,2,69,2.4,74,0.59,5.6,5.9
STU0024,stable,mid_stable,3,75,2.5,75,0.6,5.7,5.0
STU0024,stable,mid_stable,4,72,2.0,70,0.56,5.9,5.6
STU0024,stable,mid_stable,5,67,2.5,70,0.54,6.0,5.4
STU0024,stable,mid_stable,6,74,2.6,71,0.65,5.5,5.3
STU0025,improving,fast_improver,1,45,5.4,80,0.83,6.9,8.4
STU0025,improving,fast_improver,2,48,5.9,86,0.89,7.1,8.1
STU0025,improving,fast_improver,3,56,5.9,84,0.93,7.0,8.5
STU0025,improving,fast_improver,4,64,6.4,92,0.93,7.3,8.5
STU0025,improving,fast_improver,5,64,7.2,94,0.99,7.4,9.2
STU0025,improving,fast_improver,6,76,7.4,97,0.99,7.5,9.1
STU0026,erratic,high_erratic,1,81,2.3,76,0.87,7.0,7.8
STU0026,erratic,high_erratic,2,88,2.6,84,0.66,5.9,9.4
STU0026,erratic,high_erratic,3,83,4.9,83,0.6,9.5,9.9
STU0026,erratic,high_erratic,4,65,5.2,81,0.66,9.2,8.3
STU0026,erratic,high_erratic,5,62,2.5,94,0.88,7.6,5.0
STU0026,erratic,high_erratic,6,76,5.7,79,0.66,9.5,4.4
STU0027,declining,slow_decliner,1,75,3.7,75,0.73,7.2,6.8
STU0027,declining,slow_decliner,2,69,3.3,73,0.66,7.1,6.8
STU0027,declining,slow_decliner,3,65,3.0,72,0.59,7.2,6.4
STU0027,declining,slow_decliner,4,76,3.3,67,0.54,6.9,6.0
STU0027,declining,slow_decliner,5,66,2.9,71,0.48,6.7,5.6
STU0027,declining,slow_decliner,6,64,2.8,69,0.4,6.5,5.5
STU0028,declining,burnout,1,74,7.0,84,0.79,5.5,8.9
STU0028,declining,burnout,2,74,6.7,81,0.77,5.2,8.6
STU0028,declining,burnout,3,74,6.6,82,0.7,4.9,8.1
STU0028,declining,burnout,4,55,4.2,66,0.65,4.9,7.8
STU0028,declining,burnout,5,28,3.7,60,0.57,4.6,7.4
STU0028,declining,burnout,6,22,2.9,59,0.5,4.6,7.0
STU0029,declining,slow_decliner,1,59,2.3,87,0.82,6.4,5.7
STU0029,declining,slow_decliner,2,53,2.1,81,0.76,6.0,5.4
STU0029,declining,slow_decliner,3,49,2.1,79,0.72,6.0,5.4
STU0029,declining,slow_decliner,4,52,2.0,79,0.64,5.5,4.8
STU0029,declining,slow_decliner,5,46,1.7,82,0.6,5.4,4.8
STU0029,declining,slow_decliner,6,48,1.7,74,0.54,5.3,4.2
STU0030,declining,fast_decliner,1,71,4.7,78,0.98,7.6,9.5
STU0030,declining,fast_decliner,2,71,4.3,74,0.94,7.4,9.3
STU0030,declining,fast_decliner,3,62,3.8,75,0.85,7.2,8.5
STU0030,declining,fast_decliner,4,53,3.7,64,0.81,6.8,8.8
STU0030,declining,fast_decliner,5,49,3.5,63,0.76,6.9,8.0
STU0030,declining,fast_decliner,6,35,2.5,50,0.67,6.5,7.9
STU0031,improving,fast_improver,1,41,5.0,88,0.67,8.4,7.0
STU0031,improving,fast_improver,2,47,5.4,89,0.7,8.2,7.1
STU0031,improving,fast_improver,3,54,5.8,92,0.74,8.4,7.5
STU0031,improving,fast_improver,4,61,6.3,100,0.77,8.6,7.7
STU0031,improving,fast_improver,5,70,6.7,92,0.8,8.8,7.6
STU0031,improving,fast_improver,6,74,6.8,100,0.83,8.9,8.3
STU0032,declining,burnout,1,93,5.1,83,0.9,5.6,9.5
STU0032,declining,burnout,2,92,4.9,82,0.83,5.3,9.5
STU0032,declining,burnout,3,93,4.8,85,0.77,5.2,9.2
STU0032,declining,burnout,4,56,2.6,68,0.72,5.3,8.8
STU0032,declining,burnout,5,44,1.7,62,0.65,4.9,8.2
STU0032,declining,burnout,6,46,1.4,59,0.62,4.8,7.8
STU0033,declining,burnout,1,90,6.7,88,0.79,6.4,7.3
STU0033,declining,burnout,2,95,7.0,88,0.75,6.0,7.6
STU0033,declining,burnout,3,93,6.3,85,0.7,5.8,7.1
STU0033,declining,burnout,4,55,4.4,74,0.65,5.6,6.9
STU0033,declining,burnout,5,43,3.9,59,0.59,5.4,6.4
STU0033,declining,burnout,6,62,2.8,59,0.51,5.6,5.9
STU0034,improving,late_bloomer,1,56,1.9,63,0.58,6.9,5.7
STU0034,improving,late_bloomer,2,57,1.9,64,0.62,6.8,5.9
STU0034,improving,late_bloomer,3,53,2.0,60,0.64,6.9,6.2
STU0034,improving,late_bloomer,4,82,3.5,78,0.68,6.9,6.3
STU0034,improving,late_bloomer,5,82,4.5,75,0.71,7.3,7.0
STU0034,improving,late_bloomer,6,87,4.8,87,0.73,7.3,7.2
STU0035,declining,fast_decliner,1,79,5.6,90,0.91,8.4,8.7
STU0035,declining,fast_decliner,2,71,5.2,86,0.86,8.2,8.5
STU0035,declining,fast_decliner,3,65,4.9,81,0.82,8.0,8.4
STU0035,declining,fast_decliner,4,58,4.2,84,0.76,7.8,8.3
STU0035,declining,fast_decliner,5,55,3.8,80,0.69,7.5,8.0
STU0035,declining,fast_decliner,6,42,3.3,79,0.64,7.7,7.6
STU0036,improving,fast_improver,1,48,6.2,81,0.77,8.2,6.9
STU0036,improving,fast_improver,2,55,6.2,84,0.8,8.5,7.6
STU0036,improving,fast_improver,3,62,6.9,92,0.82,8.4,7.5
STU0036,improving,fast_improver,4,59,7.6,89,0.83,8.7,7.8
STU0036,improving,fast_improver,5,60,7.5,92,0.86,8.7,8.0
STU0036,improving,fast_improver,6,68,8.0,93,0.9,8.7,8.3
STU0037,erratic,high_erratic,1,78,5.0,95,0.85,7.0,9.6
STU0037,erratic,high_erratic,2,84,4.6,78,0.49,6.3,10.0
STU0037,erratic,high_erratic,3,53,5.1,79,0.67,6.2,6.4
STU0037,erratic,high_erratic,4,83,5.4,85,0.5,7.8,5.2
STU0037,erratic,high_erratic,5,66,2.9,86,0.61,9.5,6.1
STU0037,erratic,high_erratic,6,51,6.0,55,0.67,9.5,7.6
STU0038,improving,slow_improver,1,58,2.7,70,0.61,5.7,6.4
STU0038,improving,slow_improver,2,56,3.0,74,0.67,5.8,6.5
STU0038,improving,slow_improver,3,60,2.8,74,0.71,5.7,7.0
STU0038,improving,slow_improver,4,71,3.3,73,0.72,5.9,6.8
STU0038,improving,slow_improver,5,69,3.4,79,0.74,6.0,7.3
STU0038,improving,slow_improver,6,80,3.9,77,0.79,6.1,7.1
STU0039,declining,fast_decliner,1,77,3.4,82,0.91,6.0,8.0
STU0039,declining,fast_decliner,2,69,3.3,79,0.88,5.9,7.9
STU0039,declining,fast_decliner,3,66,2.5,76,0.8,5.8,7.6
STU0039,declining,fast_decliner,4,69,2.5,74,0.75,5.4,7.5
STU0039,declining,fast_decliner,5,60,1.6,73,0.68,5.2,7.1
STU0039,declining,fast_decliner,6,40,1.3,55,0.62,5.1,6.4
STU0040,declining,burnout,1,75,6.6,88,0.79,6.1,8.9
STU0040,declining,burnout,2,74,6.4,90,0.74,5.8,8.5
STU0040,declining,burnout,3,79,6.6,85,0.66,5.7,8.1
STU0040,declining,burnout,4,62,4.0,78,0.63,5.6,7.7
STU0040,declining,burnout,5,31,3.7,72,0.55,5.5,7.7
STU0040,declining,burnout,6,30,2.9,59,0.52,5.2,6.9
STU0041,stable,mid_stable,1,48,4.7,76,0.75,7.6,6.1
STU0041,stable,mid_stable,2,55,4.7,69,0.83,7.5,5.7
STU0041,stable,mid_stable,3,52,4.5,73,0.75,6.9,6.3
STU0041,stable,mid_stable,4,56,5.4,73,0.86,7.1,6.4
STU0041,stable,mid_stable,5,54,4.9,72,0.8,7.2,5.8
STU0041,stable,mid_stable,6,56,5.1,68,0.83,7.1,5.9
STU0042,declining,slow_decliner,1,54,3.0,77,0.81,7.2,7.4
STU0042,declining,slow_decliner,2,56,3.0,78,0.75,6.8,7.1
STU0042,declining,slow_decliner,3,56,3.0,72,0.67,6.7,7.2
STU0042,declining,slow_decliner,4,52,2.4,69,0.62,6.5,6.6
STU0042,declining,slow_decliner,5,47,2.4,74,0.56,6.5,6.3
STU0042,declining,slow_decliner,6,49,2.2,64,0.5,6.0,6.0
STU0043,declining,fast_decliner,1,74,5.9,86,0.94,6.9,7.4
STU0043,declining,fast_decliner,2,71,5.7,84,0.9,6.9,7.1
STU0043,declining,fast_decliner,3,62,4.9,79,0.81,6.8,6.7
STU0043,declining,fast_decliner,4,53,4.6,80,0.76,6.4,6.7
STU0043,declining,fast_decliner,5,45,4.3,66,0.69,6.1,6.3
STU0043,declining,fast_decliner,6,40,4.0,78,0.64,6.1,6.3
STU0044,declining,burnout,1,86,6.4,91,0.93,6.1,8.5
STU0044,declining,burnout,2,84,6.5,89,0.86,5.8,8.3
STU0044,declining,burnout,3,82,6.3,93,0.83,5.6,8.2
STU0044,declining,burnout,4,55,4.1,77,0.74,5.7,7.4
STU0044,declining,burnout,5,51,3.6,69,0.7,5.4,7.3
STU0044,declining,burnout,6,27,2.3,54,0.65,5.0,7.2
STU0045,stable,low_stable,1,35,2.0,57,0.62,6.4,4.9
STU0045,stable,low_stable,2,37,2.0,59,0.65,6.3,4.8
STU0045,stable,low_stable,3,30,2.3,55,0.61,6.6,4.1
STU0045,stable,low_stable,4,39,2.6,61,0.57,5.9,5.0
STU0045,stable,low_stable,5,29,2.2,52,0.62,6.1,5.0
STU0045,stable,low_stable,6,35,3.0,54,0.64,6.5,4.6
STU0046,improving,fast_improver,1,43,5.6,89,0.67,7.6,8.2
STU0046,improving,fast_improver,2,51,5.9,92,0.72,7.8,8.6
STU0046,improving,fast_improver,3,64,6.7,96,0.75,7.9,8.6
STU0046,improving,fast_improver,4,65,6.6,98,0.8,8.0,8.8
STU0046,improving,fast_improver,5,75,7.4,100,0.82,8.1,9.4
STU0046,improving,fast_improver,6,78,7.8,98,0.83,8.1,9.4
STU0047,improving,slow_improver,1,72,3.2,82,0.68,5.8,5.4
STU0047,improving,slow_improver,2,74,3.6,83,0.71,6.0,5.3
STU0047,improving,slow_improver,3,69,3.7,84,0.76,6.1,5.8
STU0047,improving,slow_improver,4,82,3.5,82,0.79,6.2,5.9
STU0047,improving,slow_improver,5,80,4.2,84,0.8,6.1,6.3
STU0047,improving,slow_improver,6,77,4.3,83,0.86,6.4,6.1
STU0048,stable,high_stable,1,82,4.1,90,0.99,8.3,8.3
STU0048,stable,high_stable,2,76,4.3,90,1.0,8.7,8.7
STU0048,stable,high_stable,3,82,4.3,86,1.0,8.7,8.3
STU0048,stable,high_stable,4,82,4.5,91,1.0,8.6,8.6
STU0048,stable,high_stable,5,81,4.7,93,0.94,8.7,8.5
STU0048,stable,high_stable,6,77,4.5,93,1.0,8.7,9.0
STU0049,declining,slow_decliner,1,58,3.9,78,0.62,7.7,5.8
STU0049,declining,slow_decliner,2,57,3.8,76,0.53,7.8,5.1
STU0049,declining,slow_decliner,3,49,3.8,72,0.48,7.3,4.8
STU0049,declining,slow_decliner,4,49,3.3,72,0.42,7.2,4.4
STU0049,declining,slow_decliner,5,49,3.3,74,0.36,7.0,4.2
STU0049,declining,slow_decliner,6,52,3.0,74,0.29,7.0,4.3
STU0050,declining,slow_decliner,1,74,5.1,68,0.64,6.9,7.1
STU0050,declining,slow_decliner,2,70,4.6,66,0.56,6.7,7.1
STU0050,declining,slow_decliner,3,67,4.5,65,0.49,6.6,6.6
STU0050,declining,slow_decliner,4,63,4.6,60,0.43,6.4,6.0
STU0050,declining,slow_decliner,5,61,3.9,60,0.38,6.0,5.9
STU0050,declining,slow_decliner,6,67,4.3,54,0.31,6.1,5.6
STU0051,improving,fast_improver,1,51,4.8,83,0.91,7.9,6.0
STU0051,improving,fast_improver,2,60,5.6,86,0.93,8.0,6.1
STU0051,improving,fast_improver,3,57,5.9,90,0.97,8.0,6.4
STU0051,improving,fast_improver,4,79,6.6,95,0.97,8.2,7.0
STU0051,improving,fast_improver,5,70,6.6,94,0.99,8.3,6.6
STU0051,improving,fast_improver,6,74,7.4,93,1.0,8.6,7.1
STU0052,improving,late_bloomer,1,47,2.0,64,0.69,7.1,6.5
STU0052,improving,late_bloomer,2,47,1.9,62,0.72,7.3,6.3
STU0052,improving,late_bloomer,3,51,2.0,60,0.74,7.4,6.3
STU0052,improving,late_bloomer,4,60,3.6,74,0.8,7.4,7.1
STU0052,improving,late_bloomer,5,71,4.4,85,0.8,7.5,7.2
STU0052,improving,late_bloomer,6,86,4.5,84,0.82,7.8,6.9
STU0053,erratic,high_erratic,1,81,5.9,63,0.76,5.4,3.9
STU0053,erratic,high_erratic,2,75,3.5,63,1.0,4.1,6.1
STU0053,erratic,high_erratic,3,94,7.0,56,1.0,5.4,8.7
STU0053,erratic,high_erratic,4,72,2.0,70,0.55,5.4,7.7
STU0053,erratic,high_erratic,5,100,6.4,65,0.53,5.9,9.0
STU0053,erratic,high_erratic,6,82,2.5,77,1.0,4.8,9.7
STU0054,stable,high_stable,1,81,4.3,84,0.99,7.8,8.9
STU0054,stable,high_stable,2,82,4.0,83,0.97,8.2,8.5
STU0054,stable,high_stable,3,80,4.6,89,1.0,8.0,8.6
STU0054,stable,high_stable,4,80,4.1,86,0.93,8.0,8.4
STU0054,stable,high_stable,5,77,4.0,90,0.95,7.5,8.7
STU0054,stable,high_stable,6,79,4.3,90,0.95,7.5,8.5
STU0055,improving,late_bloomer,1,47,3.5,80,0.51,7.2,4.9
STU0055,improving,late_bloomer,2,49,3.5,80,0.55,7.1,5.2
STU0055,improving,late_bloomer,3,46,3.0,76,0.56,7.4,5.3
STU0055,improving,late_bloomer,4,76,5.0,94,0.62,7.2,5.9
STU0055,improving,late_bloomer,5,73,5.8,97,0.65,7.6,5.7
STU0055,improving,late_bloomer,6,71,6.0,100,0.66,7.7,6.0
STU0056,declining,fast_decliner,1,87,4.9,85,0.77,6.6,7.5
STU0056,declining,fast_decliner,2,76,4.2,83,0.7,6.5,7.2
STU0056,declining,fast_decliner,3,76,4.1,82,0.64,6.4,6.6
STU0056,declining,fast_decliner,4,62,3.3,72,0.57,5.9,6.6
STU0056,declining,fast_decliner,5,65,3.3,80,0.51,5.9,5.9
STU0056,declining,fast_decliner,6,59,2.6,76,0.46,5.8,5.9
STU0057,declining,slow_decliner,1,74,4.5,77,0.73,7.4,8.1
STU0057,declining,slow_decliner,2,69,4.6,75,0.65,7.3,7.4
STU0057,declining,slow_decliner,3,72,4.0,77,0.59,7.2,7.5
STU0057,declining,slow_decliner,4,69,3.8,71,0.51,6.9,7.2
STU0057,declining,slow_decliner,5,68,3.8,73,0.49,6.8,7.1
STU0057,declining,slow_decliner,6,50,3.5,62,0.4,6.6,6.8
STU0058,improving,late_bloomer,1,57,2.9,64,0.68,6.5,6.6
STU0058,improving,late_bloomer,2,52,3.1,68,0.71,6.7,7.2
STU0058,improving,late_bloomer,3,54,2.8,65,0.73,6.6,7.4
STU0058,improving,late_bloomer,4,75,4.3,77,0.79,6.6,7.5
STU0058,improving,late_bloomer,5,77,5.3,85,0.8,6.7,7.3
STU0058,improving,late_bloomer,6,79,6.0,83,0.81,6.9,7.7
STU0059,improving,slow_improver,1,58,2.9,75,0.63,6.3,7.8
STU0059,improving,slow_improver,2,57,3.6,78,0.68,6.5,7.9
STU0059,improving,slow_improver,3,61,3.9,82,0.71,6.6,8.0
STU0059,improving,slow_improver,4,67,3.6,79,0.75,6.7,8.1
STU0059,improving,slow_improver,5,69,3.8,83,0.76,6.8,8.3
STU0059,improving,slow_improver,6,60,4.2,87,0.8,7.0,8.5
STU0060,stable,high_stable,1,74,4.6,89,0.94,7.7,7.0
STU0060,stable,high_stable,2,74,4.5,92,0.94,7.7,7.1
STU0060,stable,high_stable,3,72,4.7,87,1.0,7.8,6.9
STU0060,stable,high_stable,4,73,4.8,91,1.0,7.8,7.4
STU0060,stable,high_stable,5,74,4.9,91,1.0,7.8,7.7
STU0060,stable,high_stable,6,71,4.6,86,0.99,8.0,6.9
STU0061,declining,burnout,1,89,7.2,82,0.82,6.2,7.4
STU0061,declining,burnout,2,85,7.2,81,0.74,5.8,7.1
STU0061,declining,burnout,3,84,7.5,80,0.71,5.7,6.8
STU0061,declining,burnout,4,59,4.8,74,0.64,5.6,6.8
STU0061,declining,burnout,5,65,4.1,70,0.6,5.4,6.1
STU0061,declining,burnout,6,32,3.5,47,0.51,5.1,6.0
STU0062,stable,low_stable,1,57,1.8,60,0.68,4.7,4.2
STU0062,stable,low_stable,2,50,1.6,63,0.67,5.5,4.4
STU0062,stable,low_stable,3,49,1.4,67,0.61,5.7,3.4
STU0062,stable,low_stable,4,52,1.9,57,0.58,5.0,4.2
STU0062,stable,low_stable,5,57,1.8,64,0.67,5.7,3.7
STU0062,stable,low_stable,6,48,1.3,67,0.62,4.9,4.2
STU0063,improving,late_bloomer,1,38,1.7,67,0.71,5.7,5.2
STU0063,improving,late_bloomer,2,38,1.8,66,0.73,5.8,5.7
STU0063,improving,late_bloomer,3,40,2.1,66,0.78,5.9,5.7
STU0063,improving,late_bloomer,4,62,3.8,74,0.81,6.0,6.1
STU0063,improving,late_bloomer,5,68,4.2,84,0.83,5.9,6.0
STU0063,improving,late_bloomer,6,64,4.9,81,0.87,6.2,6.3
STU0064,declining,fast_decliner,1,73,4.9,81,0.84,8.0,8.9
STU0064,declining,fast_decliner,2,69,4.4,76,0.79,8.0,8.6
STU0064,declining,fast_decliner,3,62,4.0,74,0.74,7.8,8.6
STU0064,declining,fast_decliner,4,54,3.4,65,0.67,7.5,8.4
STU0064,declining,fast_decliner,5,52,3.0,59,0.6,7.5,8.0
STU0064,declining,fast_decliner,6,48,2.7,67,0.56,7.2,7.5
STU0065,improving,slow_improver,1,68,4.0,70,0.61,6.8,7.2
